            JDTDB,            Calendar Date (TDB),                      X,                      Y,                      Z,                     VX,                     VY,                     VZ,                     LT,                     RG,                     RR,
**************************************************************************************************************************************************************************************************************************************************************************
$$SOE
2457025.500000000, A.D. 2015-Jan-03 00:00:00.0000,  8.644892884522425E+07, -6.668735724196663E+07, -5.897089935115229E+06,  2.121810833657424E+01,  2.757128245005071E+01, -8.464933638678129E-01,  3.647214372565736E+02,  1.093407361604410E+08,  5.657753651557174E-03,
2457025.541666667, A.D. 2015-Jan-03 01:00:00.0000,  8.652525677623935E+07, -6.658805635552128E+07, -5.900133400157720E+06,  2.118629305773220E+01,  2.759587058851852E+01, -8.443203595142172E-01,  3.647215028376328E+02,  1.093407558211479E+08,  5.264860099716988E-03,
2457025.583333333, A.D. 2015-Jan-03 02:00:00.0000,  8.660147012124330E+07, -6.648866701765247E+07, -5.903169040343799E+06,  2.115444944837616E+01,  2.762042212435287E+01, -8.421462218837519E-01,  3.647215637006627E+02,  1.093407740674253E+08,  4.871959530290506E-03,
2457025.625000000, A.D. 2015-Jan-03 03:00:00.0000,  8.667756877832057E+07, -6.638918936018793E+07, -5.906196851598740E+06,  2.112257754978617E+01,  2.764493702519632E+01, -8.399709538021760E-01,  3.647216198455822E+02,  1.093407908992487E+08,  4.479052415157282E-03,
2457025.666666667, A.D. 2015-Jan-03 04:00:00.0000,  8.675355264570425E+07, -6.628962351507182E+07, -5.909216829858024E+06,  2.109067740327847E+01,  2.766941525873673E+01, -8.377945580967374E-01,  3.647216712723152E+02,  1.093408063165954E+08,  4.086139226164865E-03,
2457025.708333333, A.D. 2015-Jan-03 05:00:00.0000,  8.682942162177630E+07, -6.618996961436450E+07, -5.912228971067291E+06,  2.105874905020542E+01,  2.769385679270722E+01, -8.356170375961280E-01,  3.647217179807918E+02,  1.093408203194444E+08,  3.693220435224002E-03,
2457025.750000000, A.D. 2015-Jan-03 06:00:00.0000,  8.690517560506752E+07, -6.609022779024247E+07, -5.915233271182362E+06,  2.102679253195546E+01,  2.771826159488632E+01, -8.334383951305266E-01,  3.647217599709475E+02,  1.093408329077763E+08,  3.300296514169241E-03,
2457025.791666667, A.D. 2015-Jan-03 07:00:00.0000,  8.698081449425787E+07, -6.599039817499809E+07, -5.918229726169262E+06,  2.099480788995304E+01,  2.774262963309784E+01, -8.312586335315384E-01,  3.647217972427234E+02,  1.093408440815737E+08,  2.907367934921405E-03,
2457025.833333333, A.D. 2015-Jan-03 08:00:00.0000,  8.705633818817644E+07, -6.589048090103948E+07, -5.921218332004223E+06,  2.096279516565861E+01,  2.776696087521109E+01, -8.290777556322428E-01,  3.647218297960667E+02,  1.093408538408204E+08,  2.514435169365733E-03,
2457025.875000000, A.D. 2015-Jan-03 09:00:00.0000,  8.713174658580166E+07, -6.579047610089040E+07, -5.924199084673658E+06,  2.093075440056855E+01,  2.779125528914080E+01, -8.268957642671726E-01,  3.647218576309295E+02,  1.093408621855024E+08,  2.121498689380939E-03,
2457025.916666667, A.D. 2015-Jan-03 10:00:00.0000,  8.720703958626142E+07, -6.569038390718994E+07, -5.927171980174191E+06,  2.089868563621513E+01,  2.781551284284719E+01, -8.247126622722902E-01,  3.647218807472707E+02,  1.093408691156071E+08,  1.728558966881560E-03,
2457025.958333333, A.D. 2015-Jan-03 11:00:00.0000,  8.728221708883317E+07, -6.559020445269255E+07, -5.930137014512669E+06,  2.086658891416646E+01,  2.783973350433603E+01, -8.225284524850203E-01,  3.647218991450534E+02,  1.093408746311237E+08,  1.335616473760789E-03,
2457026.000000000, A.D. 2015-Jan-03 12:00:00.0000,  8.735727899294409E+07, -6.548993787026773E+07, -5.933094183706142E+06,  2.083446427602646E+01,  2.786391724165866E+01, -8.203431377442243E-01,  3.647219128242478E+02,  1.093408787320430E+08,  9.426716819149049E-04,
2457026.041666667, A.D. 2015-Jan-03 13:00:00.0000,  8.743222519817121E+07, -6.538958429289990E+07, -5.936043483781889E+06,  2.080231176343480E+01,  2.788806402291200E+01, -8.181567208901956E-01,  3.647219217848289E+02,  1.093408814183576E+08,  5.497250632757383E-04,
2457026.083333333, A.D. 2015-Jan-03 14:00:00.0000,  8.750705560424149E+07, -6.528914385368827E+07, -5.938984910777427E+06,  2.077013141806683E+01,  2.791217381623868E+01, -8.159692047646754E-01,  3.647219260267775E+02,  1.093408826900618E+08,  1.567770897219756E-04,
2457026.125000000, A.D. 2015-Jan-03 15:00:00.0000,  8.758177011103202E+07, -6.518861668584667E+07, -5.941918460740484E+06,  2.073792328163360E+01,  2.793624658982695E+01, -8.137805922108239E-01,  3.647219255500804E+02,  1.093408825471516E+08, -2.361717668246457E-04,
2457026.166666667, A.D. 2015-Jan-03 16:00:00.0000,  8.765636861857007E+07, -6.508800292270333E+07, -5.944844129729044E+06,  2.070568739588174E+01,  2.796028231191081E+01, -8.115908860732333E-01,  3.647219203547295E+02,  1.093408809896246E+08, -6.291210344552570E-04,
2457026.208333333, A.D. 2015-Jan-03 17:00:00.0000,  8.773085102703331E+07, -6.498730269770078E+07, -5.947761913811326E+06,  2.067342380259347E+01,  2.798428095077004E+01, -8.094000891979292E-01,  3.647219104407229E+02,  1.093408780174802E+08, -1.022070241256637E-03,
2457026.250000000, A.D. 2015-Jan-03 18:00:00.0000,  8.780521723674989E+07, -6.488651614439566E+07, -5.950671809065796E+06,  2.064113254358651E+01,  2.800824247473019E+01, -8.072082044323459E-01,  3.647218958080643E+02,  1.093408736307195E+08, -1.415018915317136E-03,
2457026.291666667, A.D. 2015-Jan-03 19:00:00.0000,  8.787946714819850E+07, -6.478564339645856E+07, -5.953573811581187E+06,  2.060881366071407E+01,  2.803216685216267E+01, -8.050152346253494E-01,  3.647218764567627E+02,  1.093408678293452E+08, -1.807966584731990E-03,
2457026.333333333, A.D. 2015-Jan-03 20:00:00.0000,  8.795360066200864E+07, -6.468468458767383E+07, -5.956467917456474E+06,  2.057646719586477E+01,  2.805605405148478E+01, -8.028211826272234E-01,  3.647218523868331E+02,  1.093408606133619E+08, -2.200912777591401E-03,
2457026.375000000, A.D. 2015-Jan-03 21:00:00.0000,  8.802761767896067E+07, -6.458363985193944E+07, -5.959354122800898E+06,  2.054409319096262E+01,  2.807990404115969E+01, -8.006260512896421E-01,  3.647218235982960E+02,  1.093408519827756E+08, -2.593857021979958E-03,
2457026.416666667, A.D. 2015-Jan-03 22:00:00.0000,  8.810151809998587E+07, -6.448250932326684E+07, -5.962232423733976E+06,  2.051169168796699E+01,  2.810371678969657E+01, -7.984298434657155E-01,  3.647217900911776E+02,  1.093408419375942E+08, -2.986798845987397E-03,
2457026.458333333, A.D. 2015-Jan-03 23:00:00.0000,  8.817530182616670E+07, -6.438129313578074E+07, -5.965102816385489E+06,  2.047926272887248E+01,  2.812749226565057E+01, -7.962325620099442E-01,  3.647217518655100E+02,  1.093408304778273E+08, -3.379737777728850E-03,
2457026.500000000, A.D. 2015-Jan-04 00:00:00.0000,  8.824896875873686E+07, -6.427999142371893E+07, -5.967965296895515E+06,  2.044680635570898E+01,  2.815123043762284E+01, -7.940342097782391E-01,  3.647217089213306E+02,  1.093408176034862E+08, -3.772673345273983E-03,
2457026.541666667, A.D. 2015-Jan-04 01:00:00.0000,  8.832251879908141E+07, -6.417860432143225E+07, -5.970819861414392E+06,  2.041432261054155E+01,  2.817493127426065E+01, -7.918347896279112E-01,  3.647216612586827E+02,  1.093408033145839E+08, -4.165605076748469E-03,
2457026.583333333, A.D. 2015-Jan-04 02:00:00.0000,  8.839595184873688E+07, -6.407713196338423E+07, -5.973666506102763E+06,  2.038181153547042E+01,  2.819859474425731E+01, -7.896343044176568E-01,  3.647216088776152E+02,  1.093407876111349E+08, -4.558532500229968E-03,
